,e_id,email_body,subject_line,user
777,_4700.subject,"Hertzberg called. We very briefly discussed the scenarios that he asked us  to build for him. I've attached the file. the supporting spreadsheets are  not included. If folks would like them, let me know. Please keep the file  confidential. Hertzberg wanted to see what happened to rates for large (noncore) customers  if the small (core) customers' share of past utility debt is shifted to  noncore customers. Our analsis shows that noncore rates approach Loretta's recent rate increases  when approximately 50% of core's share of utility past debt is shifted to  businesess (i.e., to noncore). (In fact, Edison's rate in this scenario is  below the Lynch rate, while PG&E's is modestly above.) Increasing the cost shift above the 50% level would start to push rates  significantly above the Lynch rates. Note, however, that in its recent submission to the PUC, DWR's asserts that  it's revenue requirement is substantially higher than the revenues support by  the Lynch rate increase, suggesting that Lynch will have to increase rates  again soon. In addition, Loretta's rates also do not reflect past utility costs, which  will require yet additional increases. I expect to have another conversation with the Speaker later this evening or  tomorrow to discuss the scenarios in more detail  (he would still like to put  100% of the IOUs past debts on noncore in exchange for getting a competitive  market and out from under Loretta). I will report back after we've spoken. All ideas, suggestions, etc. regarding the attached spreadsheet are welcome  and appreciated. Best,",Follow-up with Hertzberg on Core/Noncore,dasovich-j
778,_4703.subject,"The advocacy ad blitz has started. I don't know if I have the title correct,  but the D.C. based arm of the Democratic National Committee has started an ad  campaign against Republicans (in San Diego I believe). The head of the  committee was quoted this morning as saying something to the effect of, ""the  Republicans in Washington aren't doing anything to solve the problem and ""we""  want to make sure that they're held accountable."" Best,",Democratic National Congressional Election Committe Starts Adds in  California,dasovich-j
779,_4706.subject,"I spoke again briefly with Hertzberg last night and had a lengthy discussion  late last night with the guy from CSFB who's been providing Hertzberg with  pro bono financial advice on the crisis. Hertzberg is still hot on putting  all of the utility past due on the noncore, though his consultant and I  agreed that, politically, the number is more likely to end up somewhere south  of 100% (if this thing gets legs). Hertzberg asked for, and we provided  today, a ""fifth scenario,"" which shows how the numbers work out if 100% of  core's share of utility past due is shifted to noncore. It's attached. Will  report back with any further developments. Note: Please discard the file that I sent you yesterday and replace it with  this one. That file accidentally had the same cents/kwh, noncore rate for  both Edison and PG&E. Edison's rate should be 12.98 cents/kwh NOT 12.21  cents/kwh. It's the line that reads ""Total cost to Noncore under CPUC's  Recent Decision."" Best,",More Follow-up with Hertzberg et. al.,dasovich-j
780,_4720.subject,"Good talking to you last nite. Here's the summary with the 5th scenario. The Speaker has it. Give a call if you have any questions. Best,",5th Scenario,dasovich-j
781,_4728.subject,"Rosalee:  Could you please print out the following two documents for Mr.  Lay? One is an excel sheet showing the summary of the results of our analyis  of the core/noncore market structure that Mr. Lay has been discussing with  leaders in California. The other is a word document explaining the summary  tables contents. If you have any questions, just let me know. Maureen, can  you print out for Steve, too? Thanks very much for your help. Best,",Summary of Core/Noncore Analysis,dasovich-j
782,_4750.subject,"Greetings: Have you seen this? Any view on whether there's a group of economists who  think otherwise and might be willing to express their views in a response to  this letter? P.S. Talked to Tyson re: trying to get economists back in the middle of this,  but I wasn't altogether successful. Best,",Economists letter on FERC and California,dasovich-j
783,_4766.subject,"Status of core/noncore proposal Buzz about the proposal in Sacramento is still significant and growing. Our name is being tossed about, but in the context (apparently) of ""some  parts of Enron's core/noncore proposal."" Hertzberg is slated to meet with his caucus this evening to discuss the plan. Conversation with Governor's Financial Advisor Talked to Michael Hoffman today (one of Governor's financial advisors) They've run Hertzberg's version of the core/noncore model (i.e., noncore eats  IOU past due) using their MOU numbers. They said that the model ""can work"" if noncore can contract for $80/MWH (this  is pretty consistent with our analysis). Hoffman's guys are doing a final scrub on the numbers and Hoffman will fax me  the results tomorrow AM. Hertzberg is coming up with ""additional"" twists, however. The twists include increasing the bond issuance to ~$20B (to keep core rates  down). Hoffman and Co. are concerned that the market can't/won't swallow $20B of  additional debt (the MOU would issue about $13B). In addition, Hertzberg wants to stretch it out for 20 years (the MOU would  issues 15-year paper)----Hoffman and Co. are concerned that the market won't",Gov's Financial Advisors Run Core/Noncore Numbers and other news  from the day,dasovich-j
784,_4770.subject,"I've received a copy of the powerpoint presentation Hertzberg made to the his  caucus. Unfortunately, it's a fax and hardly legible. I can make out,  however, that it is the core/noncore plan. I'm attempting to get a better  copy and will distribute as soon as I get my hands on it. Please keep  confidential that we have a copy. Thanks. Best,",Hertzberg's Plan,dasovich-j
785,_4771.subject,"Folks:  Here is a rewrite of the power point presentation referenced in the previous  note. Again, please keep confidential and do not distribute. It's the copy  that Hertzberg used to present to his caucus.Thanks. Best,",Hertzberg,dasovich-j
786,_4795.subject,"I've had several phone calls with large customer groups over the past  24-hours, mostly explaining our noncore/core proposal (in contrast to the one  that the Assembly Democrats have launched which would saddle business with  100% of the utilities' past debts). As folks know, the cost shift provision  of the Dems plans have been erroneously attributed to us in some cases. The business folks have been very appreciative of the discussions and have  recognized that, generally, our proposal is a fair and reasonable one. They  are going to try to set up direct negotiations with Hertzberg and have  requested that I be part of those negotiations. They are not sure that  Hertzberg will go along with the idea, but they're going to try. They will  get back to me when they find out. I'll report back soon as I hear  something.",Phone Calls w/Large Customers re: Core/Noncore Proposal,dasovich-j
787,_5.subject,"I think Dennis, Shawne and I were supposed to work more on #2, but since I  can't recall, I'm sending to all. First, I apologize. I tried to work directly with the excellent spreadsheet  Carolyn put together, but I kept fumbling, butchering, etc. So I canibalized  her great stuff and created a new spreadsheet, attempting to incorporate the  ""clarifications"" (yeah, right) that Prof McCullough distributed via email,  and the stuff we talked about during break (i.e., timing of cash flows). The  answers are at the bottom of the work sheet. And I've also included the  report (though I did not peruse it for errors, relevancy, etc.). My  biggest concern is question 6. My answer (despite some outliers) sez  that there ain't no loan in June. (This may mean my spreadsheet's got a  fatal flaw--significant probability.)",Team Project #2---Problem #2,dasovich-j
788,_510.subject,"FYI. Rebecca got back in touch wanting to talk about the history of dereg in  California. Been trading messages. When she gets back to me with what she  wants to discuss, I'll check back in before having the conversation. Question:  What about giving her a copy of our high tech slides with the  intent of getting her to do a story on it? She might be a good ""carrier."" Thoughts? One story has already hit the SJ Mercury News. Best,",Rebecca Smith,dasovich-j
789,_518.subject,"Mitch:  Paul Kaufman mentioned that you'd like to see the testimony that Steve Kean  (at a congressional field hearing in San Diego) and I (at a FERC field  hearing in San Diego) gave a few weeks ago. Steve had prepared remarks. They are attached. I did not have prepared remarks, but I've attached my  talking points. My talking points were not made public, however, so please  keep them private. Finally, I'm trying to get a transcript of the FERC  hearing. If you would like a copy, please let me know. And if there's  anything else that I can do, please don't hestitate to contact me. Best,",FERC Hearing,dasovich-j
790,_519.subject,"BEEP stack is the supply curve for real-time energy that the ISO develops on  the basis of bids and offers. The problem is that the plants the ISO  ultimately dispatches from the stack often conflict with the merit order  developed from the bids/offers, and the ISO has never been clear about the  decision metrics it uses to determine ultimate dispatch. Everyone, including  Belden, thinks it can and ought to be a helluvalot more transparent.","The ISO's ""BEEP"" stack",dasovich-j
791,_523.subject,"Susan Scott is a senior attorney with the pipeline group (TW). I met her as  part of the California PUC's gas restructuring case. For some time she's  been inquiring about Government Affairs. She called me yesterday and  mentioned that she's very  interested in exploring if there are any  opportunities in GA.  From my experience, Susan is highly competent and very  professional and I think TW would say the same. She likes her work but wants  a new challenge. I told her I'd inquire about whether someone would be  interested in talking with her. I think that it would be useful for you to  chat with her. Thoughts? Susan would like to keep it confidential at this  point.",Potential Hire,dasovich-j
792,_529.subject,"FYI. Great news. PUC ""fixed"" the language glitches in the original decision  granting ETI its certificate and voted it out yesterday. So we're good to go  on filing our final tariff. It's attached. Please take a look and let's  discuss ASAP (Monday?) so we can get if on file at the CPUC. Best,",Need to Review California Tariff Pronto,dasovich-j
793,_534.subject,"Rebecca Smith called. She wants to have coffee on Monday at 10 AM  California. Topics:  1) How California got here. 2) How California can get  out of it. Any chance of talking Monday AM prior to 10 AM California time? I think I've  got the messages pretty well down, but might be useful to touch base. Let me  know. Hear's a message I'm practicing:  ""Shapiro and Steffes went to FERC on Friday----problem solved.""",Coffee w/Rebecca,dasovich-j
794,_545.subject,"Greetings. I'm going to read the material and the case today. Should we  compare notes (via email) on questions 3&4 by tomorrow (Sunday) before  lunch? Let me know. Best,",Case,dasovich-j
795,_557.subject,"Please let me know if you want me to participate in any gas panels. And my  feelings won't be hurt if you say no. Worry not. Just need to know so that  I can prepare some materials. Best,",Retreat,dasovich-j
796,_558.subject,"Here's one that's ""final,"" not draft, that just came out. I'm assuming that  this is the one the press is refering to. Let me know that you think.",Final report from the Cal PX on the summer prices,dasovich-j
797,_560.subject,"Just spent about 90 minutes with Rebecca. She left with a very good  understanding of our view of the problem and the solutions. She also spent  time asking me how I thought other players would respond to the IOU request  for a big check to cover the undercollections. She expects to have a ""big picture"" story--covering AB 1890s past, present &",Coffee with Rebecca Smith,dasovich-j
798,_570.subject,FYI. Here's what Dave pulled together on Friday. I talked to him and told  him I was going to make a single power point out of the info and then run it  by him for review and comment.,Jeff Skilling talking points (from Dave Parquet),dasovich-j
799,_572.subject,"Ms Bennett: Thanks for the voicemail. Couldn't locate the files you sent in August  (uemail now deletes automatically, which may be the problem). Could you  forward a copy to Mr Yang? Most appreciated. Best,",PG&E's Rate Design Update,dasovich-j
800,_577.subject,"Harry:  FYI. First meeting to discuss how to dole out the $50 MM created by  AB 970 is 10.7. Someone I've worked with on DG-type deals in the past from  EES is going to attend the meeting (Brian Smith from the Costa Mesa office). Bob Frank and I had a conference call with him this morning. URL for the  event is included below. Best,","Energy Efficiency, etc. Incentives",dasovich-j
801,_578.subject,"Mike:  We'd talked about getting together to discuss the bills for the case. We'd  originally agreed to a flat fee of $13, 500 (if memory serves) with a bonus  for coming in under the cap. You've sent me bills (as of August 17 according  to my records) for over $25,000. As you recall, we had a very lengthy  discussion regarding the magnitude of the work associated with the hearings  and associated briefs. I stressed that $13.5 was what I'd spend and that  we'd have to do the best we could within that constraint, which is why I  pressed for a flat fee arrangement at the outset. With that in mind, I  believe that it's important to honor the arrangement. However, in light of  the particular circumstances in this case, I'm willing to exceed the previous  arrangement for a total of $15,000, but can't go above that. If you'd like  to discuss it further, I'd be happy to talk about it. Let me know. Best,",Bills for Gas Restructuring Activities,dasovich-j
802,_586.subject,"Given that Peace is likely going to try to push legislation to merge the ISO  and PX and other nasty things, likely makes sense to listen in on our message  development, tactics in addressing the LMP problem. You think there'd be any  problem with that? If not, could you pass along the call in number? Thanks,",# for Massey Call,dasovich-j
803,_593.subject,"Hi. Please set up a call for 60 minutes for tomorrow, 10.11.00 for 11 AM  CALIFORNIA time and distribute info to the list of folks below. Thank you  very much.",Discuss Upcoming Sempra Meeting,dasovich-j
804,_595.subject,"Well, it's upon us again and that means X-Mas party. Joseph and I have begun (barely) to plan for this year's festivities. But  before we get to far along, tried and true democratic (small ""d"") principles  call for a wee bit of polling. Because we're already in the middle of October we need your responses  pronto. If we don't receive your responses by COB Thursday, then democracy's  out the window, and good ol' dictatorship takes over. Of course, it will be difficult to grant everyone's wishes, but all  suggestions will be given great (and equal) weight. Here are the questions:  Would you prefer just dinner, or dinner plus an activity? Joseph and I are leaning toward dinner and an activity, but wanted to hear  from other folks. If yes, Joseph has come up with a couple of very fun ideas  for an activity but suggestions are greatly encouraged and welcome. Same  goes for a restaurant (understanding that the choice of activity may  influence where we eat). Sue has put in her vote for Fleur de Lys. Should we try to organize the event with the rest of the SF office (i.e., EES  and ENA) or confine it to GA? Should we expand to include Western GA or keep it to SFGA? We choose for dates the 7th or 8th or 14th or 15th of December. What's your  preference. Is there a day that just won't work? Joseph, if I've missed anything, please tack on. Best,",That Joyous Time of Year,dasovich-j
805,_598.subject,"Attached is a ""plant siting"" slide for the next Skilling/Davis meeting. I  developed it from background materials that Dave Parquet pulled together. This version includes Daves' comments. His comments are in CAPS. Best,",Siting Slide for Davis/SKILLING,dasovich-j
806,_601.subject,"As a follow-up to our call. Here is some additional information regarding QF  pricing issues. QFs who voluntarily switched to PX pricing have been getting paid full PX  prices (and there seem to be a couple of thousand MWs that have switched. The concern is that the Commission's ultimate decision on PX-based QF prices  will force the QFs that have switched to ""refund"" some of the payments  they've received (e.g., under a ""PX minus"" mechanism). The majority of QFs  are happy with the judge's proposed decision pending before the PUC (except  those remotely located QFs who will take a big GMM hit). As we discussed, the Commission strongly rejected Edison's emergency motion  regarding the gas piece of the QF pricing formula. Recall also that a couple of months ago",Recent Info on QF Pricing-related Issues,dasovich-j
807,_608.subject,"FYI. Recently, Chris Calger has asked me to set up a meeting with Sempra. ENA's seeking deals with the two big CA gas IOUs (PG&E and SoCalGas) that  would give ENA access to their assets. In short, ENA wants to offer a  complete outsource deal for the IOUs' core gas load (i.e., rez and small  commercial customers). ENA would take responsibility for providing service  for delivery at the city gate and in return would manage all of core's assets  (upstream of the city gate). We're meeting with Sempra's ""Chief Regulatory  Office"" (Bill Reed) and Sempra's CFO next Thursday to discuss. Given the fact that Sempra's primarily focused on electricity, the plan is to  lead off the meeting with a couple of electricity solutions as a bridge to  the gas offer. For electricity, the plan has two pieces:  1) a commodity  offer that beats the 6.5 cent cap (i.e., nothing fancy) and 2) ""Deal Bench""  services with the intent of establishing a procurement mechanism for SDG&E  that the California PUC could pre-approve (thereby eliminating some of the  immense regulatory risk SDG&E now faces). Wanted to run this by folks to gauge reactions. We'll distribute the slides  we're putting together as soon as they're drafted--hopefully by COB Friday.",Meeting w/Sempra,dasovich-j
808,_627.subject,"FYI. Just got a call from Jan Smutney-Jones. Apparently, word is on the  street that Peace intends to begin targeting Enron as an example of the  ""misconduct"" that Peace alleges has occured in California's markets. Smutney  thinks Peace may be keying off the comments of the ""unnamed"" trader in the  Dow article claiming that Enron's been buying power and holding on to it. Apparently Peace's other angle is/will be:  ""The same people who colluded in  the design of this market are now colluding to profit unfairly from it."" No  idea of when and how Peace might launch any attacks. Two immediate thoughts:  Apart from the bad reporting in the Dow article, that article shows that  Enron got beat by, among others, two federal (Canada and the US), one state  (SRP) and one municipal (LADWP) government. David Freeman, who now heads up LADWP, was appointed ""Czar"" by the State of  California and charged with the task of implementing Steve Peace's brain  child (AB 1890). Freeman set up the ISO and PX market structures. He also  set up the Governing Boards.",Peace Targetting Market Players,dasovich-j
809,_644.subject,"Hi Kim: Any luck withJackie re: getting together to start the project? And if there's anything else I can do re: your meeting on Monday, don't  hesitate. Leave me a voicemail and let me know how the meeting goes. I'll  be in Vancouver with the EBS gang Monday/Tuesday, and if all goes well maybe  I can chat up some folks while I'm there. Best,",Finance Project,dasovich-j
810,_647.subject,"Greetings:  Well, there's a finance midterm coming up and some of us have discussed  getting together the weekend before for a study session. I just grabbed an old list from last year so apologies if I've included folks  who ain't even in finance, or if I've left some folks off. Sorry to those  who received in error, and please forward to anyone else who might be  interested. Anyway, anyone interested? Hope all is well with all. Best,",Study?,dasovich-j
811,_650.subject,I think it would be a good idea to have Ron Carroll in Watkiss' shop to do a  parallel analysis to what we're going to have Mike Day do. Ron's very good  and has done much work on these sortrs of issues. You comfortable with that?,Legal Analysis on AB 1890,dasovich-j
812,_653.subject,"I've been asked for a copy of the transcript from the FERC hearing in S.D. Any chance of getting that? And do you folks have a copy of the Peace letter  (treatise) sent to FERC last week? If so, could you fax it to 415.782.7854? Many thanks. Best,",Peace Letter & FERC Transcripts,dasovich-j
813,_656.subject,"Steve: I think I already forward these to you, but if not, they're the prices that  Henderson came up with for fully shaped prices to the utilities. May be  useful re: conversations with the Street about getting the utilities out of  procurement. Note that the date on the prices is 10.02.00 so they're  somewhat stale, but arguably still indicative. I'm also going to give you  the prices Belden just gave us (prior to the run up yesterday, though) for  prices at SP15. Best,",Pricing for California utilities,dasovich-j
814,_660.subject,"Here are the very indicative prices Tim gave us for 5 year deals at SP15. They'll likely  change by the time we meet with Sempra on Thursday. 25 MW, on peak (6X16):  $53/MWh 25 MW, base load (7X24):  $45/MWh 500 MW, on peak (6X16):  $55/MWh 500 MW, base load (7X24):  $47/MWh",Belden's prices,dasovich-j
815,_668.subject,"They're still in the formative stage, and the title is korny, but wanted to  get the ball rolling. No pride of authorship. Feel free to hack away. Best,",DRAFT slides for Sempra Meeting,dasovich-j
816,_672.subject,Attached for your review is a rough cut at slides we're preparing for the  meeting with Sempra next Thursday. Thoughts and comments are appreciated. Please disregard korny title.,DRAFT Slides for Sempra Meeting,dasovich-j
817,_675.subject,"Good morning professor: Unfortunately, I'm traveling on business today (it's raing in Vancouver) and  can't attend class tonite. I was wondering if you'd be distributing the take  home midterm in this evening's class. Also, could you resend the access code  for the Craftmade case? I believe that I copied it down incorrectly. Thank  you very much. Best,",Midterm,dasovich-j
818,_695.subject,"Knew you'd be dying to know that Barry Staw will be teaching a class on  ""Creativity"" in the Spring. Be sure to reserve your place today! Best,",Great News!,dasovich-j
819,_703.subject,"Hi Mary: When Seab completes the draft of his reader-friendly exec summary, could you  make sure that Karen gets a copy to review? Thanks a million. Best,",Summary of Seab's Paper,dasovich-j
820,_705.subject,"Ok. Here it is. Quick and dirty. Make any changes you like. You're right,  if anyone's going to beat St. Louis, it's going to be KC, but I took St.  Louis.",Picks,dasovich-j
821,_707.subject,"Greetings Folks:  Any chance of finalizing the California tariff Monday morning (have a call,  say, 7:30/8:00 AM PDT)? Let me know. Hope all's well with all. Best,",California Tariff,dasovich-j
822,_733.subject,"Most folks probably listened in to the press conference, but for those that  didn't here's a summary of the ISO's proposal to FERC. The description of  the proposal was vague and general, and Winters tends to speak in run-on  sentences, so if I've gotten anything wrong, please chime in. $100 cap for ""old"" generation; ""new"" generation would be exempt. FERC would require generators and SCs to contract forward for at least 70% of  their power. For those that meet the 70% requirement, they will be exempt from the $100  cap, and the $250 cap will apply. Winters believes that the 70% requirement, coupled with utility-controled  gen, will result in the IOUs scheduling about 85% of load into the forward  market. Load and supply that deviate from schedules and go to the real time market  will be penalized (details to be ""ironed"" out). The ISO is supposed to make the filing at FERC today.",ISO Proposal to FERC,dasovich-j
823,_749.subject,"Hi Lee:  Looks great. Could you do me a favor? You have ""generating company"" rep on  the agenda. Enron does not see itself as a generating company. In fact, the  only generation that we own in California is 50+ MWs of wind power in  Southern California. Could you change it to ""energy service provider"" rep? Hope that's not a problem. Best,",Website,dasovich-j
824,_75.subject,"Greetings All: If memory serves, our filing in California is due on Tuesday. Steve Bowen &  Co. should be getting me a draft today based on our discussion a couple of  weeks ago in Houston. Soon as I get it, I'll be distributing for review. Aim would be to have it in shape COB tomorrow. Thoughts? P.S. Some good news. Recall from our meeting a couple of weeks ago that I  mentioned that there were some preliminary filings we had to make in Arizona  (in order to transact business there) prior to filing for a CPCN. Well, I've  spoken with Robin Hill, and those filings have already been made some time  ago, so that's one less thing to worry about. Best,",California Tariff Filing----How Time Flies,dasovich-j
825,_750.subject,"My apologies. I thought we had discussed me being on the first panel. Thus,  my previous note. I see that I'm on the second, however. Sorry for the  confusion. Best,",Never Mind,dasovich-j
826,_763.subject,"Steve:    Attached is a memo that reponds to your question:  ""Can the solution to the  utilities' undecollection problem take place at the PUC, or is a legislative  fix required?"" As we discussed, I'm also attaching a memo from Mike Day on  the issue. Bottom line:  It's within the PUC's jurisdiction to solve the problem, but  the likelihood is high that it will be a key focus of the Legislature in the  next session. If you, or anyone on the distribution, have any questions, let  me know. Best,",Forum for Solution to Utility Undercollection Problem,dasovich-j
827,_768.subject,"FYI:  Got a call from a colleague who told me that Loretta Lynch and Rod  Wright, among others, spoke at yesterday's annual meeting of regulation  lawyers. The following sums up what was very briefly relayed to me about  Pres. Lynch's and Rod Wright's remarks:    President Lynch said that 1) de-regulation was founded on ideology, not  facts; 2) she wants to completely re-organize the PUC, top to bottom (in her  image? Amen); 3) she frowns on lobbying---""If you come knocking on my door,",Comments by Lynch and Wright and Annual Reg Lawyers' Meeting,dasovich-j
828,_79.subject,"Yes, please forward along. Kathleen and Thom, Don Schultz is, and has been  for about two decades, a rather earnest and tenacious crusader for DSM. Very  detail-oriented sort of fellow. Works for the California Commission's  ""Division of Ratepayer Advocates."" Just a heads up. Best,",re-restructuring: energy/communication industry convergence,dasovich-j
829,_797.subject,"Attached for your review are draft talking points for the Cal Energy Markets  conference I'm speaking at on Thursday in SF. All comments, suggestions,  etc. are appreciated. Thanks.",DRAFT Talking Points for Cal Energy Markets Talk,dasovich-j
830,_80.subject,"Greetings Dr. Gobbo:  If my memory serves, you should have arrived back in Italy, or will return  soon. Since we met, I have spoken with Severin Borenstein, who is intimately  involved with California's electricity restructuring (melodrama?) and a  renowned energy economist  at UC Berkeley. Severin has offered to serve as a  contact for you as you continue to take on the formidable task of  restructuring your country's electric industry. I've included his contact  information below. And, of course, if there is ever anything I can do for  you, do not hesitate to contact me. All the best,",Contact with Prominent UC Berkeley Energy Economist,dasovich-j
831,_802.subject,"Chris:    As we discussed yesterday, Laird and I spoke and we think that the  presentation is good to go for Thursday. We'll need to update the numbers  for the offer we made to S.D. last week. You had mentioned that you might  want to include a shaped product. You still considering it? Let us know and  we can add it, and make any other changes you'd like to make at this end. My flight gets into S.D. at at 8:35 on southwest. Best,",Thursday Meeting w/Sempra,dasovich-j
832,_804.subject,"Here are the messages as I understand them. Please let me know if I've  misconstrued anything. Thanks. FERC got  a lot right in the order and we're very encouraged as a result. In particular, ending the PX buy/sell requirement and permitting utilities to  manage risk through a portfolio of short and long term contracts is a  fundamental step in the right direction. However, the proposed price cap is unworkable and will jeopardize realibility  in California. As structured, it will: discourage the development of new generation to serve California fail to provide adequate incentives for demand responsiveness. force Enron to abandon 300 MWs of new power projects planned for California. We look forward to participating in FERC's process and are hopeful that  FERC's final order will fix the deficiencies in the current price cap  proposal. We encourage California to work with FERC to implement the proposals and  quickly fix the flaws in the market on behalf of the state's consumers.",Message Points,dasovich-j
833,_827.subject,"I have NO idea how I sent the email to jackie at kim's email address. apologies. i'm losing it. did you guys meet last nite to discuss the project? If not, do you want to  meet this weekend for a wee bit to discuss? i'm in town. just let me know. i can't find ted's email on any notes and i'm too lazy (flaky) to search it  out. best,",?,dasovich-j
834,_843.subject,"Harry:    Seems like a good idea for you to participate to ensure that EES is in the  loop. Assemblyman Rod Wright's trying to find a solution that the whole  industry can embrace, which he'd then foist on the Governor. Sandi, Parquet  and Day attended the first meeting last week. I'll forward to you Parquet's  notes from the meeting. We'll be setting up a call in number first thing  Monday morning. Best,",MEETING VERIFICATION re: Discussion of Rod Wright Meeting in LA,dasovich-j
835,_856.subject,"FYI. I'll be participating in a ""round table discussion"" on California next  Monday on the Berkeley campus. It's being sponsored by the Policy School and  some folks from the Business School. Laura Tyson and a former FCC mucky-muck  (Howard Shalansky) will moderate the two panels. Alums who now work in the  energy biz are putting up funding for the event (e.g., Columbia, American  Public Power Ass.) We're providing a modest stipend. There are two ""round tables."" First one is ""Why did we do this?,"" and the  second one is ""Where to from here?"" I'll be on the second panel. Go to the  attached website for agenda and other info. I intend to pull from the  messages, filings and other materials that we've developed over the course of  the last several weeks/months. I'll distribute talking points for review and  comment sometime this week. But please feel free to send thoughts,  suggestions, etc. early and often. Best,",Berkeley Policy School Energy Summit,dasovich-j
836,_884.subject,"To help herd cats, might be useful to get to the generators via multiple  contact points. My understanding is that the Houston-to-Houston contacts are  good ones. We'll continue to work it via IEP and generator contacts here in  California.",Herding Cats,dasovich-j
837,_888.subject,"Hey, I know it's a pain, but I think there would be value in getting together  (if folks are available) on Thursday evening from 7-10 with (lots of) beer  and pizza and grind through the finance case. We can do it at my apartment,  or anywhere else you folks would like to do it. Thoughts?",Meet,dasovich-j
838,_90.subject,"California's Price Caps Raising Average Cost of Power=20 The retail price caps imposed in California are leading to higher average= =20 prices for longer periods of time as demand responsiveness is dulled and=20 supply is retarded, according to a report released by Morgan Stanley Dean= =20 Witter. Traders interviewed by the firm said that calendar strips for 2001= =20 through 2003 have traded in excess of $100/MWh, or around $30/MWh higher th= an=20 a month ago. What's more, the firm said, the expected trough in the forward= =20 curve =01* projected in the 2002-2003 time frame =01* ""continues to move ou= t in=20 time. ""=20  The Dean Witter study reported that the change in futures pricing for the= =20 California Oregon Border (a proxy for Northern California pricing) and at= =20 Palo Verde (a proxy for Southern California pricing) trading hubs show=20 similar upward trends from June through August.=20  The study said the most alarming thing for the state is the increased threa= t=20 of power outages. Higher priced regions like the desert Southwest and the= =20 Northwest ""will suck exports out of the state and deter imports,"" Dean Witt= er=20 said. The tight supply situation is pushing average prices higher, more=20 often, and increasing the risk imports won't arrive at all when they are=20 truly needed.",California's Price Caps Raising Average Cost of Power,dasovich-j
839,_908.subject,"Steve:  Here are the deals and offers. The desk is concerned about two  things:  1) that we not make the specific of the deals/offers public. They're fine  with general statements like ""the offers are below the price cap."" 2) they have good relationships with the IOUs and the munis and are starting  to do a lot of deal; as such, they expressed concern about any comments that  might agitate them and make them disinclined to transact with us (sound  familiar)? If there's anything else you need, for if you have any questions about this  material. Don't hesitate. Good luck. Best,",Enron Deals for FERC Panel,dasovich-j
840,_918.subject,Hi. Sorry for the delay. Today's big FERC hearing has had me wrapped up. Please read the following and keep VERY confidential---it's an internal PG&E,New OII,dasovich-j
841,_921.subject,"Hi. Nice to see you in Houston. I'm giving a presentation on gas issues on  Tuesday. I've got a draft of the message points you circulated on 9.28  regarding ""why gas prices have increased"" (have those changed? ); I've got Ken  Lay's gas presentation before the National Governor's Conference (9.20.00);  and Gil Muhl's presentation to the AGA  in Washington D.C. on 9.19.00. Are  there other presentations that would useful to look at in preparation for the  talk? Finally, rest assured, you're the best resource anyone could hope for on gas  issues anywhere in Enron. If it seems like I've bugged you less recently  it's because 1) I feel like I've bugged you a lot--too much--over the past",Gas Presentation,dasovich-j
842,_927.subject,"Greetings Ms Carson:  I'm giving a presentation on gas issues on Tuesday. I've got a draft of the  message points that Shelly Corman circulated on 9.28 regarding ""why gas  prices have increased"" (have those changed? ); I've got Ken Lay's gas  presentation before the National Governor's Conference (9.20.00); and Gil  Muhl's presentation to the AGA  in Washington D.C. on 9.19.00. Are there  other presentations that would useful to look at in preparation for the  talk? And are there any recent analyses by CERA, PIRA etc. about gas  nationally, in the West, and in California that you could forward. And if  you get a chance, could you give a ring? I've got a couple of questions. As  always, greatly appreciated. Best,",Gas Presentation,dasovich-j
843,_939.subject,"Hi Ginger:  Rick and I spoke and decided that it would be a good idea to provide UC  Berkeley's Graduate School of Public Policy with a small stipend of $2,500 to  help underwrite a conference they're sponsoring with the business school on  Monday. I'll be participating in the conference. Could you please make the check payable to (the faceless)  ""UC Regents"" and  send it to:  Heather Cameron Richard and Rhoda Goldman School of Public Policy University of California 2607 Hearst Avenue Berkeley, CA  94720   The school's Federal Taxpayer ID is:  946002123. Thanks very much. If you have any questions, don't hesitate. Best,",Stipend to UC Berkeley Policy School,dasovich-j
844,_957.subject,"Greetings Diane:  Well, the TeleBears on the Web seems to be experiencing some ""technical  difficulties"" and I've thus far been unable to register. I'll keep trying! In the meantime, I want to make sure that I don't miss any deadlines for the  1-unit courses. I intend to sign up for the E291-B course (Speaking for  Management). When do I need to sign up by? Thanks. Best,",Registering for Classes,dasovich-j
845,_987.subject,"Dub and I are going to go to Stinson/Bolinas to seela the deal on Saturday  morning/afternoon prior to going to Napa for Nancy's Bday on Sat night. Would love to have you two join, but worry not if you've got conflicts. Best,",P. Dub-yah's Birthday,dasovich-j
846,_996.subject,"My apologies. I've been meaning to come in, but figured that at some point  the Telebears on the Web would work. But no luck. Here are the courses that  I'd like to register for. SID: 84054310G1. Competitive Strategy (E210): #09250 Corporate Finance (E234):  #09301 Securities Markets (E233):  #09292 Internet Strategy (E262B):  #09373 Pricing (E296-10):   ??? Speaking for Management (E291B-1)---I believe that Diane has already listed",Registration,dasovich-j
